Lang-1		2	2	2	1	26	17	
Lang-2		20	20	20	17	23	15	
Lang-3		2	2	2	2	5	2	
Lang-4		1	1	1	4	1	7	
Lang-5		1	1	1	1	7	6	
Lang-6		117	127	4	120	72	89	
Lang-1		1	1	1	1	20	15	
Lang-2		16	16	16	21	29	16	
Lang-3		2	2	5	8	20	2	
Lang-4		2	2	2	4	3	5	
Lang-5		1	1	1	1	2	9	
Lang-6		93	96	96	21	8	100	
Lang-7		137	137	1	56	12	144	
Lang-8		38	38	38	13	126	36	
Lang-9		59	55	56	64	21	63	
Lang-10		56	59	59	34	2	32	
Lang-11		2	2	2	6	8	8	
Lang-12		3	3	3	2	4	2	
Lang-13		19	19	19	16	3	13	
Lang-15		8	8	8	12	104	83	
Lang-16		97	96	1	77	70	80	
Lang-17		64	75	75	54	13	70	
Lang-18		46	47	47	33	143	69	
Lang-19		2	2	2	1	8	1	
Lang-20		4	4	4	16	2	19	
Lang-22		14	14	14	7	19	23	
Lang-23		85	85	85	83	13	82	
Lang-24		64	64	64	28	72	10	
Lang-25		7	7	7	3	1	3	
Lang-26		9	9	9	103	35	23	
Lang-27		126	126	126	8	56	52	
Lang-28		1	1	1	3	3	5	
Lang-29		1	1	1	2	9	12	
Lang-31		2	2	2	3	3	2	
Lang-32		23	22	6	14	21	13	
Lang-33		6	38	24	36	25	56	
Lang-34		6	7	7	5	40	10	
Lang-35		2	2	2	1	11	2	
Lang-36		54	53	57	58	26	27	
Lang-37		4	4	4	1	17	16	
Lang-38		3	3	3	1	58	6	
Lang-39		37	37	37	20	35	29	
Lang-41		15	15	15	19	4	13	
Lang-42		10	11	15	4	19	4	
Lang-43		6	6	6	6	10	1	
Lang-44		9	9	9	8	10	10	
Lang-45		8	8	8	13	16	21	
Lang-46		1	1	1	1	8	3	
Lang-47		31	31	31	28	12	21	
Lang-48		2	2	2	2	2	6	
Lang-49		1	1	1	1	20	4	
Lang-50		57	59	59	52	60	19	
Lang-51		14	14	14	8	6	10	
Lang-52		16	16	16	24	4	23	
Lang-53		9	9	9	9	5	5	
Lang-54		5	5	5	9	5	11	
Lang-55		11	20	20	14	2	13	
Lang-56		114	112	114	41	46	99	
Lang-57		6	6	6	2	29	10	
Lang-58		17	17	17	10	13	5	
Lang-59		1	1	1	1	3	1	
Lang-60		4	4	11	9	9	9	
Lang-61		9	9	9	4	22	12	
Lang-62		5	5	6	1	23	2	
Lang-63		1	1	1	1	15	6	
Lang-64		1	1	1	1	32	1	
Lang-65		6	6	6	13	7	1	
Chart-1		29	25	61	31	573	43	
Chart-2		95	95	95	97	78	1	
Chart-3		6	6	6	12	121	6	
Chart-5		4	5	6	6	41	5	
Chart-6		12	12	12	28	24	25	
Chart-7		55	56	56	91	104	77	
Chart-8		9	9	9	6	46	19	
Chart-9		12	12	14	16	15	45	
Chart-10		3	3	3	2	17	3	
Chart-11		10	10	10	2	17	17	
Chart-12		16	16	23	197	34	54	
Chart-13		48	47	49	81	53	34	
Chart-15		34	25	348	67	549	320	
Chart-16		1	1	1	1	2	4	
Chart-17		2	2	2	1	14	8	
Chart-18		3	3	3	3	2	3	
Chart-19		38	50	120	63	200	72	
Chart-20		5	5	15	38	6	1	
Chart-21		6	6	6	8	36	6	
Chart-22		17	17	17	21	4	11	
Chart-23		236	238	238	147	10	47	
Chart-24		3	3	3	3	1	1	
Chart-25		2724	2717	2718	2611	1410	2399	
Math-1		2	2	7	1	176	10	
Math-2		43	43	43	37	96	51	
Math-3		8	8	8	7	6	14	
Math-4		38	32	34	12	5	11	
Math-5		1	1	1	2	12	10	
Math-6		17	18	18	60	31	36	
Math-7		38	26	200	90	191	160	
Math-8		3	3	10	1	74	10	
Math-9		1	1	1	3	58	1	
Math-10		3	3	4	14	11	1	
Math-11		114	114	116	189	117	149	
Math-12		197	203	208	180	21	201	
Math-13		166	160	160	143	179	90	
Math-14		99	93	93	87	119	57	
Math-15		562	585	74	127	440	508	
Math-16		2	597	94	563	284	686	
Math-17		101	83	95	308	276	119	
Math-18		357	370	609	220	306	14	
Math-19		355	60	70	159	395	292	
Math-20		306	312	463	914	89	82	
Math-21		44	45	45	31	6	22	
Math-22		9	9	4	21	28	40	
Math-23		126	132	141	69	72	89	
Math-24		147	149	149	28	113	53	
Math-25		2	2	3	7	3	10	
Math-26		36	36	37	76	212	22	
Math-27		1	1	2	1	30	1	
Math-28		14	14	14	15	80	10	
Math-29		187	188	188	188	23	174	
Math-30		65	65	65	19	159	64	
Math-31		27	29	29	22	190	20	
Math-32		2	1	128	9	1284	791	
Math-33		50	32	74	249	32	82	
Math-34		1	1	1	1	7	5	
Math-36		9	9	9	228	32	29	
Math-37		139	135	135	113	4	58	
Math-38		8	8	8	2	2	10	
Math-39		256	203	237	415	451	56	
Math-40		33	33	33	20	70	78	
Math-41		39	91	23	47	33	63	
Math-42		32	40	40	30	21	14	
Math-43		34	35	35	17	42	120	
Math-44		9	8	58	158	197	96	
Math-45		2	2	2	5	5	7	
Math-46		1	1	1	1	9	3	
Math-47		2	2	2	2	3	1	
Math-48		717	646	676	40	399	156	
Math-49		4	3	54	7	2	70	
Math-50		1	1	2	1	137	5	
Math-51		28	28	30	25	221	22	
Math-52		8	8	30	8	213	126	
Math-53		2	2	2	3	17	5	
Math-54		13	13	26	229	54	28	
Math-55		1	1	1	1	18	3	
Math-56		20	20	22	11	5	4	
Math-57		10	10	10	158	135	27	
Math-58		665	627	702	246	558	631	
Math-59		2	668	176	76	21	776	
Math-60		35	28	5	15	38	123	
Math-61		8	386	43	8	169	46	
