motivation-artificial_bug	5Time-14		194	4	100	234	189	122	
Time-15		68	48	66	64	46	37	
Time-16		1814	1788	1801	1814	1814	1814	
Time-17		157	1	50	53	85	197	
Time-18		3064	3057	3061	3064	3064	3064	
Time-19		818	786	794	818	818	818	
Time-20		1288	1271	1281	1288	1288	1288	
Time-21		215	109	185	82	79	26	
Time-22		1545	1537	1537	1545	1545	1545	
Time-23		291	116	165	44	118	9	
Time-24		674	674	674	674	674	674	
Time-25		1799	1753	1772	1799	1799	1799	
Time-26		3695	3663	3682	3695	3695	3695	
Time-27		5440	5437	5437	5440	5440	5440	
Time-1		178	49	94	43	34	104	
Time-2		219	210	67	117	69	236	
Time-3		2520	2510	2517	2520	2520	2520	
Time-4		4927	4927	4927	4927	4927	4927	
Time-5		817	805	810	817	817	817	
Time-6		3658	3615	3640	3658	3658	3658	
Time-7		1670	1649	1665	1670	1670	1670	
Time-8		729	683	724	729	729	729	
Time-9		726	681	715	726	726	726	
Time-10		2303	2303	2303	2303	2303	2303	
Time-11		24	144	144	389	154	241	
Time-12		1003	999	999	1003	1003	1003	
Time-13		4502	4502	4502	4502	4502	4502	
Time-14		175	4	65	116	30	317	
Chart-1		3681	3681	3681	3681	3681	3681	
Chart-2		226	72	63	44	26	22	
Chart-3		111	6	6	6	309	56	
Chart-5		66	5	6	11	46	16	
Chart-6		25	29	99	267	262	238	
Chart-7		5	42	57	161	68	33	
Chart-8		14	2	37	8	74	46	
Chart-9		122	4	4	1	188	174	
Chart-11		43	9	34	33	20	23	
Chart-12		1383	1383	1383	1383	1383	1383	
Chart-13		631	631	631	631	631	631	
Chart-14		1476	1220	6	19	236	329	
Chart-15		2752	3092	3209	1934	556	689	
Chart-16		1	1	2	7	28	1	
Chart-17		112	2	2	8	74	398	
Chart-18		84	5	4	7	55	76	
Chart-19		2438	2438	2438	2438	2438	2438	
Chart-20		238	238	238	238	238	238	
Chart-21		45	9	9	39	123	4	
Chart-22		51	27	8	2	11	36	
Chart-23		612	612	713	845	795	1133	
Chart-24		3	3	3	4	15	16	
Chart-1		1161	33	603	110	1427	2357	
Chart-2		271	100	79	90	244	44	
Chart-3		137	9	9	10	341	215	
Chart-5		70	7	7	17	43	36	
Chart-6		36	114	259	203	256	186	
Chart-7		30	69	69	74	54	79	
Chart-8		17	4	39	6	42	44	
Chart-9		161	7	7	8	441	255	
Chart-11		35	1	35	21	17	81	
Chart-12		2255	2255	2255	2255	2255	2255	
Chart-13		41	41	44	33	7	337	
Chart-14		2447	1293	6	9	505	610	
Chart-15		3219	28	35	1480	1486	261	
Chart-16		1	1	2	12	47	2	
Chart-17		134	2	2	332	171	86	
Chart-18		87	3	4	9	70	55	
Chart-19		1851	2	1	41	424	920	
Chart-20		262	262	262	262	262	262	
Chart-21		7	7	7	38	213	80	
Chart-22		53	34	8	1	16	6	
Chart-23		1106	1547	2089	732	836	1639	
Chart-24		3	3	3	4	12	13	
Lang-1		25	1	503	16	564	67	
Lang-2		4	17	17	11	4	2	
Lang-3		51	6	490	25	65	374	
Lang-4		1	1	2	6	38	9	
Lang-5		4	5	5	5	4	15	
Lang-6		34	96	351	174	144	217	
Lang-7		45	27	481	5	245	231	
Lang-8		214	22	22	168	215	232	
Lang-9		10	29	167	96	15	193	
Lang-10		4	43	138	8	128	11	
Lang-11		2	3	3	5	7	30	
Lang-13		25	25	45	32	23	11	
Lang-14		795	795	795	795	795	795	
Lang-15		12	185	817	540	263	29	
Lang-16		84	36	469	72	590	526	
Lang-17		1	101	473	590	434	11	
Lang-18		24	46	60	15	30	33	
Lang-19		11	3	3	10	4	8	
Lang-20		52	2	2	38	168	434	
Lang-21		185	185	185	185	185	185	
Lang-22		4	18	23	25	37	76	
Lang-23		79	79	175	2	36	21	
Lang-24		62	62	62	196	658	596	
Lang-25		15	14	14	9	1	3	
Lang-26		68	8	8	45	181	176	
Lang-27		126	123	525	41	196	53	
Lang-28		18	1	1	3	17	24	
Lang-29		1152	1152	1152	1152	1152	1152	
Lang-30		1	1	4	3	223	20	
Lang-31		12	1	3	33	454	773	
Lang-32		2	11	456	6	56	78	
Lang-33		7	7	11	9	190	280	
Lang-34		81	42	112	18	3	58	
