Chart-1		35	35	35	16	3364	206	
Chart-2		89	89	89	52	115	149	
Chart-3		4	4	4	13	477	7	
Chart-5		6	6	6	13	148	25	
Chart-6		52	98	98	23	367	94	
Chart-7		67	67	67	210	236	127	
Chart-8		83	63	63	168	168	168	
Chart-9		14	14	14	11	604	30	
Chart-11		71	54	54	160	160	160	
Chart-12		8	8	8	59	137	805	
Chart-13		46	46	46	277	142	351	
Chart-14		467	463	6	22	1611	18	
Chart-15		34	34	34	521	5161	409	
Chart-16		1	1	2	7	25	1	
Chart-17		2	2	2	2	373	11	
Chart-18		3	3	4	6	45	6	
Chart-19		1	1	1	3	642	187	
Chart-20		72	72	72	367	367	367	
Chart-21		9	9	9	4	119	22	
Chart-22		50	43	10	4	17	34	
Chart-23		4176	2582	2582	2870	2848	1943	
Chart-24		3	3	3	1	11	1	
Chart-25		3018	3018	151	5	574	102	
Lang-1		3	3	3	2	615	17	
Lang-2		29	29	29	76	76	76	
Lang-3		12	12	12	11	661	12	
Lang-4		2	2	2	1	24	1	
Lang-5		4	4	4	4	18	12	
Lang-6		95	95	95	86	804	1144	
Lang-7		98	98	98	29	985	3	
Lang-8		34	34	34	42	444	77	
Lang-9		55	63	63	151	214	166	
Lang-10		65	65	65	119	44	11	
Lang-11		1	1	1	3	6	8	
Lang-12		4	5	7	1	7	8	
Lang-13		64	64	64	28	17	6	
Lang-14		147	147	147	1062	1062	1062	
Lang-15		12	191	217	161	121	449	
Lang-16		27	27	27	265	545	53	
Lang-17		97	97	97	1	239	576	
Lang-18		40	40	40	82	175	92	
Lang-19		7	7	7	4	18	3	
Lang-20		8	8	8	14	256	12	
Lang-21		35	35	35	250	250	250	
Lang-22		25	30	30	13	124	28	
Lang-23		37	37	37	84	160	235	
Lang-24		61	61	61	58	880	535	
Lang-25		12	12	12	12	12	10	
Lang-26		7	7	7	28	175	10	
Lang-27		101	101	101	171	772	81	
Lang-28		2	2	2	5	38	1	
Lang-29		1	1	1	1	641	5	
Lang-30		3	3	5	3	6	7	
Lang-31		6	6	6	2	278	6	
Lang-32		2	2	2	11	15	13	
Lang-33		5	5	5	5	539	16	
Lang-34		52	52	96	28	9	261	
Lang-35		2	2	2	3	636	14	
Lang-36		40	40	92	76	90	53	
Lang-37		6	6	6	1	585	10	
Lang-38		3	3	3	4	325	7	
Lang-39		27	27	27	56	241	108	
Lang-40		102	102	102	860	860	860	
Lang-41		4	4	4	6	20	3	
Lang-42		13	13	13	2	150	26	
Lang-43		6	6	6	3	101	19	
Lang-44		20	20	20	142	142	142	
Lang-45		8	8	8	14	536	37	
Lang-46		1	1	1	1	73	5	
Lang-47		4	4	4	4	524	18	
Lang-48		1	1	1	1	26	3	
Lang-49		1	1	1	3	175	14	
Lang-50		11	11	2	7	46	21	
Lang-51		118	118	118	137	137	137	
Lang-52		26	26	26	34	64	47	
Lang-53		123	123	123	130	37	99	
Lang-54		4	4	4	2	53	5	
Lang-55		7	7	7	11	24	7	
Lang-56		272	247	247	112	160	39	
Lang-57		163	44	44	172	172	172	
Lang-58		20	20	20	29	593	5	
Lang-59		6	6	6	2	192	9	
Lang-60		2	2	2	2	116	31	
Lang-61		8	20	20	14	198	13	
Lang-62		138	138	138	62	4	80	
Lang-63		1	1	1	7	214	2	
Lang-64		1187	467	467	564	770	804	
Lang-65		6	6	6	5	2	4	
Math-1		14	11	9	18	200	138	
Math-2		38	38	38	57	1438	514	
Math-3		3	3	3	114	230	17	
Math-4		3	3	3	7	1359	389	
Math-5		1	1	1	2	111	12	
Math-6		105	228	232	728	2503	842	
Math-7		43	43	43	35	930	89	
Math-8		3	3	3	1	504	5	
Math-9		1	1	1	2	815	1	
Math-10		17	17	17	3	89	753	
Math-11		31	31	31	158	1022	53	
Math-12		415	415	415	1713	1713	1713	
Math-13		182	182	182	632	3193	1861	
Math-14		84	84	84	40	2381	926	
Math-15		704	704	704	2017	2017	2017	
Math-16		2	2	2	1	85	3	
Math-17		81	81	81	5	578	120	
Math-18		628	628	628	1822	3139	1157	
Math-19		58	58	58	24	308	60	
Math-20		417	417	417	2474	2710	3462	
Math-21		42	42	47	10	638	13	
Math-22		1	1	1	1	1343	24	
Math-23		140	140	140	298	672	182	
Math-24		149	149	149	878	89	1130	
Math-25		97	97	97	380	128	380	
Math-26		34	34	34	34	931	206	
Math-27		1	1	1	2	1050	2	
Math-28		13	13	13	14	1826	18	
Math-29		6	6	6	9	698	18	
Math-30		26	26	26	13	468	983	
Math-31		102	193	193	152	42	40	
Math-32		2	2	2	10	2330	81	
Math-33		21	21	21	1405	1016	145	
Math-34		3	3	3	3	81	8	
Math-35		6	6	6	5	101	52	
Math-36		484	484	484	539	539	539	
Math-37		231	217	3	6	1031	23	
Math-38		8	8	8	4	460	3	
Math-39		117	117	117	413	1646	1287	
Math-40		22	22	22	26	1402	155	
Math-41		34	34	34	20	741	25	
Math-42		64	64	64	28	1917	170	
Math-43		44	44	85	539	937	164	
Math-44		14	14	14	11	1807	71	
Math-45		2	2	2	5	1061	1	
Math-46		1	1	1	1	1462	9	
Math-47		1	1	1	1	896	19	
Math-48		354	354	354	62	1023	282	
Math-49		7	7	7	3	947	46	
Math-50		1	1	1	1	93	2	
Math-51		31	31	31	127	1225	1535	
Math-52		22	22	22	34	1117	39	
Math-53		2	2	2	1	276	2	
Math-54		12	12	12	23	1229	123	
Math-55		1	1	1	1	1336	1	
Math-56		12	12	12	7	1099	6	
Math-57		2534	969	969	2565	2565	2565	
Math-58		501	501	501	320	977	1910	
Math-59		2	2	2	1	1209	670	
Math-60		36	36	36	33	41	32	
Math-61		8	8	8	8	573	27	
Math-62		189	189	189	72	549	23	
Math-63		1	1	1	1	76	12	
Math-64		32	32	32	5	69	92	
Math-65		4	4	4	29	213	579	
Math-66		15	54	480	170	54	180	
Math-67		8	8	8	124	432	257	
Math-68		177	177	177	142	58	90	
Math-69		12	12	12	20	1352	1864	
Math-70		1	1	1	2	23	2	
Math-71		1	1	1	2	14	44	
Math-72		1	1	1	2	118	34	
Math-73		2	2	2	20	168	7	
Math-74		775	775	775	2551	1358	249	
Math-75		1	1	1	2	54	19	
Math-76		66	66	67	34	1047	151	
Math-77		13	13	13	9	1785	23	
Math-78		79	79	79	100	34	181	
Math-79		29	29	29	28	145	43	
Math-80		14	14	14	37	1321	22	
Math-81		10	10	10	15	1283	7	
Math-82		199	199	199	72	643	1301	
Math-83		33	33	33	24	686	36	
Math-84		9	16	27	94	112	12	
Math-85		88	88	88	86	318	211	
Math-86		21	61	61	52	224	60	
Math-87		101	101	101	65	297	1131	
Math-88		1	1	1	2	567	15	
Math-89		25	25	25	33	8	43	
Math-90		27	27	27	88	88	88	
Math-91		1	1	1	1	239	3	
Math-92		2	2	2	2	33	60	
Math-93		2	2	2	2	1	13	
Math-94		4	4	4	115	48	27	
Math-95		9	9	9	6	214	14	
Math-96		5	5	5	21	16	40	
Math-97		1	1	1	2	49	53	
Math-98		4	4	4	9	59	4	
Math-99		3	3	3	4	161	12	
Math-100		9	9	9	30	124	108	
Math-101		11	11	11	13	69	54	
Math-102		3	3	4	1	143	3	
Math-103		27	27	27	138	113	3	
Math-104		38	38	38	118	50	112	
Math-105		44	44	44	65	65	65	
Math-106		4	4	4	1	85	22	
Mockito-1		2	2	2	2	489	1	
Mockito-2		5	10	22	1	578	9	
Mockito-3		1	1	9	2	214	22	
Mockito-4		1781	1781	1781	813	675	100	
Mockito-5		2905	2406	2406	1112	2969	892	
Mockito-6		677	677	1	20	284	207	
Mockito-7		1649	1782	1782	593	102	946	
Mockito-8		73	73	73	156	156	156	
Mockito-9		443	443	446	1288	720	691	
Mockito-10		10	10	10	42	494	7	
Mockito-11		252	252	252	700	700	700	
Mockito-12		2	2	2	1092	41	8	
Mockito-13		62	62	62	12	381	157	
Mockito-14		95	95	95	362	269	75	
Mockito-15		129	129	129	726	113	127	
Mockito-16		6	6	6	10	361	105	
Mockito-17		83	83	83	50	21	105	
Mockito-18		9	9	9	2	565	74	
Mockito-20		22	22	83	59	203	222	
Mockito-21		1	1	1	1	50	1	
Mockito-22		159	159	159	655	655	655	
Mockito-23		9	9	9	13	469	39	
Mockito-24		2814	2814	2814	3171	3171	3171	
Mockito-25		42	42	66	31	943	3	
Mockito-26		28	28	194	1	392	554	
Mockito-27		11	11	11	80	782	98	
Mockito-28		258	258	258	273	879	234	
Mockito-29		975	882	882	245	223	687	
Mockito-30		2	2	2	15	239	113	
Mockito-31		146	146	146	497	422	408	
Mockito-32		2	2	2	5	694	233	
Mockito-33		70	150	156	4	838	30	
Mockito-34		37	46	46	6	634	59	
Mockito-35		313	313	6	221	357	160	
Mockito-36		20	69	69	68	1280	728	
Mockito-37		1	1	1	3	24	325	
Mockito-38		778	734	734	955	191	903	
Time-1		2	2	2	3	44	16	
Time-2		3	3	3	6	2720	16	
Chart-1		2484	2484	2484	2697	2697	2697	
Chart-2		73	73	73	62	16	72	
Chart-3		4	4	4	10	240	65	
Chart-5		6	6	6	10	90	16	
Chart-6		36	77	77	33	61	97	
Chart-7		43	43	43	181	127	152	
Chart-8		78	67	67	130	130	130	
Chart-9		10	10	10	11	66	8	
Chart-11		70	69	69	127	127	127	
Chart-12		145	145	145	515	515	515	
Chart-13		468	468	468	575	575	575	
Chart-14		1408	1408	1408	1665	1665	1665	
Chart-15		4778	4778	4778	5094	5094	5094	
Chart-16		1	1	2	9	13	4	
Chart-17		2	2	2	1	64	18	
Chart-18		8	8	4	5	29	3	
Chart-19		1575	1575	1575	1870	1870	1870	
Chart-20		49	49	49	212	212	212	
Chart-21		9	9	9	7	163	40	
Chart-22		36	34	10	5	4	16	
Chart-23		4139	4139	4139	343	147	442	
Chart-24		3	3	3	1	9	1	
Chart-25		9951	9951	9951	9951	9951	9951	
Lang-1		3	3	3	3	135	14	
Lang-2		29	29	29	76	76	76	
Lang-3		12	12	12	50	245	13	
Lang-4		2	2	2	1	43	15	
Lang-5		4	4	4	3	18	7	
Lang-6		51	51	51	458	458	458	
Lang-7		98	98	98	20	331	3	
Lang-8		31	31	31	24	245	55	
Lang-9		27	29	29	88	9	44	
Lang-10		43	43	43	221	126	162	
Lang-11		1	1	1	2	6	2	
Lang-12		4	5	7	4	19	17	
Lang-13		64	64	64	13	42	1	
Lang-14		147	147	147	540	540	540	
Lang-15		12	189	214	104	225	64	
Lang-16		27	27	27	256	411	32	
Lang-17		97	97	97	26	160	193	
Lang-18		34	34	34	115	10	103	
Lang-19		7	7	7	5	11	1	
Lang-20		8	8	8	13	302	11	
Lang-21		35	35	35	174	174	174	
Lang-22		17	22	23	11	96	66	
Lang-23		37	37	37	102	21	118	
Lang-24		61	61	61	76	143	12	
Lang-25		12	12	12	18	17	9	
Lang-26		7	7	7	29	48	161	
Lang-27		93	93	93	126	235	126	
Lang-28		2	2	2	1	20	3	
Lang-29		1	1	1	1	147	7	
Lang-30		1	1	1	7	148	7	
Lang-31		183	183	183	617	617	617	
Lang-32		2	2	2	32	206	15	
Lang-33		5	5	5	1	399	22	
Lang-34		25	25	53	19	130	55	
Lang-35		2	2	2	1	215	7	
Lang-36		35	35	89	20	43	23	
Lang-37		769	769	769	800	800	800	
Lang-38		3	3	3	4	82	4	
Lang-39		665	665	665	776	776	776	
Lang-40		102	102	102	426	426	426	
Lang-41		4	4	4	4	41	29	
Lang-42		8	8	8	7	51	65	
Lang-43		6	6	6	2	45	18	
Lang-44		20	20	20	142	142	142	
Lang-45		1233	1233	1233	1233	1233	1233	
Lang-46		1	1	1	1	1	3	
Lang-47		4	4	4	3	225	1	
Lang-48		1	1	1	1	54	3	
Lang-49		1	1	1	4	107	7	
Lang-50		15	8	2	19	2	1	
Lang-51		118	118	118	137	137	137	
Lang-52		24	24	24	54	40	4	
Lang-53		116	116	116	85	56	50	
Lang-54		4	4	4	5	33	4	
Lang-55		7	7	7	7	2	9	
Lang-56		206	206	206	93	137	161	
Lang-57		163	85	85	165	165	165	
Lang-58		20	20	20	21	266	13	
Lang-59		5	5	5	3	229	8	
Lang-60		570	570	570	325	125	87	
Lang-61		823	823	823	856	856	856	
Lang-62		119	119	119	27	29	14	
Lang-63		1	1	1	2	9	5	
